"Country","Operator","TADIG code","MCC/MNC","Tags","LTE Status Outbound","LTE Date Outbound","5G NSA Status Outbound","5G NSA Date Outbound"
"India","Reliance Jio Infocomm Limited","INDJT","405870","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJU","405871","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJV","405872","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJW","405873","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJX","405874","HRVCN_HUB","Live","2026-02-02","N/A",
"Indonesia","PT Telekomunikasi Selular","IDNTS","51010",,"Live","2016-03-29","Live","2025-05-27"
"International Waters","Telenor Maritime AS","NORMC","90112","TMHR Ship","Live","2019-09-19","Live","2025-05-23"
"International Waters","Wireless Maritime Services, LLC","BMU01","90118","HRVCN_HUB, TMHR Ship","Live","2023-10-01","N/A",
"Iran, Islamic Republic of","Irancell Telecommunications Services Company","IRNMI","43235",,"Live","2017-11-13","Live","2024-12-12"
"Iran, Islamic Republic of","Mobile Telecommunication Company of Iran","IRN11","43211",,"Live","2024-02-19","Live","2024-02-19"
"Iran, Islamic Republic of","Rightel Communication Services Company PJS","IRNTT","43220","HRVCN_HUB","Live","2018-05-23","N/A",
"Iraq","Asiacell Communications PJSC","IRQAC","41805",,"Live","2023-08-01","N/A",
"Ireland","3 Ireland","IRLH3","27205","TMHR EU regulated","Live","2020-02-12","Live","2022-09-15"
"Ireland","Eircom Limited","IRLME","27203","TMHR EU regulated","Live","2015-11-19","Live","2022-05-18"
"Israel","Cellcom Israel Ltd.","ISRCL","42502",,"Live","2025-08-10","Live","2025-08-10"
"Israel","Hot Mobile Ltd.","ISRMS","42507","HRVCN_HUB","Live","2017-09-25","Live","2024-10-21"
"Israel","Partner Communications Company Ltd.","ISR01","42501",,"Live","2016-04-04","N/A",
"Israel","Pelephone","ISRPL","42503",,"Live","2023-06-16","Live","2023-06-16"
"Italy","ILIAD Italia S.p.A.","ITAFM","22250","TMHR EU regulated","Live","2025-04-22","Live","2025-04-22"
"Italy","TIM S.p.A","ITASI","22201","TMHR EU regulated","Live","2015-05-12","Live","2022-04-04"
"Italy","Vodafone Italy-Fastweb S.p.A","ITAOM","22210","TMHR EU regulated","Live","2021-05-26","N/A",
"Italy","WINDTRE","ITAWI","22288","TMHR EU regulated","Live","2016-03-16","Live","2022-06-20"
"Jamaica","FLOW Jamaica","JAMCW","338180","HRVCN_HUB","Live","2016-10-24","N/A",
"Japan","NTT DOCOMO, Inc.","JPNDO","44010",,"Live","2017-01-27","Live","2023-09-25"
"Japan","SoftBank Corp.","JPNJP","44020",,"Live","2016-07-08","Live","2025-10-23"
"Jordan","Orange Jordan","JORMC","41677",,"Live","2017-06-05","N/A",
"Jordan","Umniah by Beyon","JORUM","41603",,"Live","2018-04-09","N/A",
"Jordan","Zain Jordan","JORFL","41601",,"Live","2024-01-24","Live","2024-02-29"
"Kazakhstan","Beeline Kazakhstan","KAZKT","40101",,"Live","2019-09-19","N/A",
"Kazakhstan","Kcell JSC","KAZKZ","40102",,"Live","2019-12-20","Live","2025-04-01"
"Kazakhstan","Tele2 Kazakhstan","KAZ77","40177","HRVCN_HUB","Live","2023-07-10","Live","2025-04-30"
"Kenya","Airtel Kenya","KENKC","63903","HRVCN_HUB","Live","2020-05-20","N/A",
"Kenya","Safaricom PLC","KENSA","63902",,"Live","2018-12-14","N/A",
"Kenya","Telkom Kenya","KENTK","63907","HRVCN_HUB","Live","2019-06-11","N/A",
"Korea, Republic of","KT Corporation","KORKF","45008",,"Live","2015-07-03","Live","2022-08-05"
"Korea, Republic of","SK Telecom Co., Ltd.","KORSK","45005",,"Live","2017-01-04","Live","2023-06-13"
"Kosovo (K00)","IPKO Telecommunications LLC","K0001","22102",,"Live","2019-06-01","N/A",
"Kosovo (K00)","Kosovo Telecom JSC","K00TK","22101",,"Live","2026-05-06","Live","2026-05-06"
"Kuwait","Ooredoo Kuwait","KWTNM","41903",,"Live","2016-09-29","Live","2022-04-08"
"Kuwait","stc Kuwait","KWTKT","41904","HRVCN_HUB","Live","2020-11-16","Live","2024-11-20"
"Kuwait","Zain Kuwait","KWTMT","41902","HRVCN_HUB","Live","2023-02-01","Live","2023-02-01"
"Kyrgyzstan","Mega","KGZMC","43705","HRVCN_HUB","Live","2024-03-11","N/A",
"Kyrgyzstan","Nur Telecom LLC","KGZNT","43709","HRVCN_HUB","Live","2025-03-24","N/A",
"Lao People’s Democratic Republic","Star Telecom Company Limited (STL)","LAOAS","45703","HRVCN_HUB","Live","2019-03-01","N/A",
"Latvia","Bite Latvija","LVABT","24705","HRVCN_HUB, TMHR EU regulated","Live","2021-04-13","Live","2023-08-31"
"Latvia","Latvijas Mobilais Telefons","LVALM","24701","TMHR EU regulated","Live","2018-07-23","Live","2022-07-15"
"Latvia","Tele2 SIA","LVABC","24702","TMHR EU regulated","Live","2021-03-25","Live","2023-10-03"
"Lebanon","Touch","LBNLC","41503",,"Live","2024-10-16","N/A",
"Lesotho","Econet Telecom Lesotho (Pty) Ltd (ETL)","LSOET","65102","HRVCN_HUB","Live","2024-11-01","N/A",
"Liberia","Orange Liberia","LBR07","61807",,"Live","2026-03-05","N/A",
"Libya","Al Madar Al Jadid","LBY01","60601",,"Live","2026-04-30","N/A",
"Liechtenstein","Telecom Liechtenstein AG","LIEMK","29505","TMHR EU regulated","Live","2020-03-18","Live","2023-05-31"
"Lithuania","Bite Lithuania","LTUMT","24602","TMHR EU regulated","Live","2019-09-26","Live","2023-08-31"
"Lithuania","Telia Lietuva AB","LTUOM","24601","TMHR EU regulated","Live","2016-02-19","Live","2022-10-06"
"Lithuania","UAB Tele2","LTU03","24603","TMHR EU regulated","Live","2021-04-23","Live","2024-02-05"
"Luxembourg","Orange Luxembourg","LUXVM","27099","TMHR EU regulated","Live","2017-05-15","Live","2023-06-01"
"Luxembourg","POST Luxembourg","LUXPT","27001","TMHR EU regulated","Live","2016-03-10","Live","2022-06-13"
"Luxembourg","Tango","LUXTG","27077","TMHR EU regulated","Live","2015-09-10","Live","2022-02-08"
"Macao, SAR China","CTM","MACCT","45501",,"Live","2016-10-21","Live","2023-12-13"
"Malaysia","Celcom Axiata Berhad","MYSCC","50219",,"Live","2019-09-16","Live","2023-03-31"
"Malaysia","Digi Telecommunications Sdn Bhd","MYSMT","50216",,"Live","2016-03-25","Live","2023-06-30"
"Malaysia","Maxis Broadband Sdn. Bhd.","MYSBC","50212",,"Live","2017-12-07","N/A",
"Malaysia","U Mobile Sdn. Bhd.","MYSMI","50218","HRVCN_HUB","Live","2018-08-01","Live","2024-03-14"
"Maldives","Dhivehi Raajjeyge Gulhun Public Limited Company","MDV01","47201","HRVCN_HUB","Live","2024-05-14","N/A",
"Maldives","Ooredoo Maldives Public Limited Company","MDVWM","47202",,"Live","2025-05-29","Live","2025-05-29"
"Mali","Orange Mali SA","MLI02","61002","HRVCN_HUB","Live","2018-09-27","N/A",
"Malta","Epic Malta","MLTMA","90119","TMHR Ship","Live","2024-06-28","Live","2025-08-11"
"Malta","Epic Malta","MLTTL","27801","TMHR EU regulated","Live","2023-04-19","Live","2023-04-19"
"Malta","GO p.l.c.","MLTGO","27821","TMHR EU regulated","Live","2018-10-10","Live","2022-10-11"
"Malta","Melita Ltd","MLTMM","27877","TMHR EU regulated","Live","2019-07-31","Live","2022-10-18"
"Mauritius","Emtel Ltd","MUSEM","61710",,"Live","2024-10-25","Live","2024-10-25"
"Mauritius","Mahanagar Telephone (Mauritius) Ltd.","MUSMT","61703",,"Live","2022-08-23","N/A",
"Mauritius","my.t","MUSCP","61701",,"Live","2025-11-05","Live","2025-11-05"
"Mexico","Altán Redes","MEXAL","334140","HRVCN_HUB","Live","2025-04-11","N/A",
"Mexico","AT&T Comercializacion Movil, S. de R.L. de C.V.","MEXIU","334050",,"Live","2024-10-23","N/A",
"Mexico","Movistar Mexico","MEXMS","334030",,"Live","2017-11-17","N/A",
"Mexico","Telcel","MEXTL","334020",,"Live","2025-08-12","N/A",
"Moldova, Republic of","Moldtelecom S.A.","MDAUN","25905","HRVCN_HUB","Live","2016-10-27","N/A",
"Moldova, Republic of","Orange Moldova","MDAVX","25901",,"Live","2018-06-12","Live","2025-05-22"
"Monaco","Monaco Telecom S.A.M.","MCOM2","21210","HRVCN_HUB","Live","2016-10-24","Live","2023-04-24"
"Montenegro","Crnogorski Telekom a.d. Podgorica","MNETM","29702",,"Live","2015-06-30","Live","2022-10-21"
"Montenegro","MTEL d.o.o. Podgorica","MNEMT","29703",,"Live","2017-07-31","Live","2025-05-26"
"Montenegro","One Montenegro","MNEPM","29701",,"Live","2017-12-08","Live","2023-04-25"
"Morocco","Orange Maroc","MARMT","60400",,"Live","2017-01-09","N/A",
"Nepal","Ncell","NPLM2","42902",,"Live","2024-06-21","N/A",
"Nepal","Nepal Telecom","NPLNM","42901",,"Live","2020-05-15","N/A",
