"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price","source"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Standard","20","30","29.99","USD","","","2026-06-29","AUS","saily-AUS-Standard-20-30-29.99","Select 20 GB - 30 days for 29.99 USD.","","29.99","visible_text"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Unlimited","Unlimited","5","18.99","USD","","","2026-06-29","AUS","a05857e0-74c0-4bff-8d95-62abfd7a7369","Select Unlimited - 5 days for 18.99 USD.","","18.99","offer_schema"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Unlimited","Unlimited","10","34.99","USD","","","2026-06-29","AUS","788e9858-efdc-4ee0-8b4e-7b2741bfc2aa","Select Unlimited - 10 days for 34.99 USD.","","34.99","offer_schema"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Unlimited","Unlimited","15","48.99","USD","","","2026-06-29","AUS","590d82fd-9e88-42d0-a202-b32a104331e9","Select Unlimited - 15 days for 48.99 USD.","","48.99","offer_schema"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Unlimited","Unlimited","20","59.99","USD","","","2026-06-29","AUS","3f64cffa-1908-4f57-a058-05ad5166d3e1","Select Unlimited - 20 days for 59.99 USD.","","59.99","offer_schema"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Unlimited","Unlimited","25","65.99","USD","","","2026-06-29","AUS","11a5a961-2335-4139-a3f1-2de4717dad8b","Select Unlimited - 25 days for 65.99 USD.","","65.99","offer_schema"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Unlimited","Unlimited","30","71.99","USD","","","2026-06-29","AUS","66990eb5-6689-4e21-b4f4-239dbeeeaf8a","Select Unlimited - 30 days for 71.99 USD.","","71.99","offer_schema"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Standard","1","7","1.99","USD","","","2026-06-29","AUT","saily-AUT-Standard-1-7-1.99","Select 1 GB - 7 days for 1.99 USD.","","1.99","visible_text"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Standard","3","30","5.99","USD","","","2026-06-29","AUT","saily-AUT-Standard-3-30-5.99","Select 3 GB - 30 days for 5.99 USD.","","5.99","visible_text"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Standard","5","30","7.99","USD","","","2026-06-29","AUT","saily-AUT-Standard-5-30-7.99","Select 5 GB - 30 days for 7.99 USD.","","7.99","visible_text"
