ISO3,Provider,Plan,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,Currency_old,Currency_new,usd_price_old,usd_price_new,eur_price_old,eur_price_new,SpecialOffer_old,SpecialOffer_new
FRA,airalo,Standard,30,10,changed,price,16.0,19.0,USD,USD,16.0,19.0,16.0,19.0,,
FRA,airalo,Standard,30,20,changed,price,23.5,26.0,USD,USD,23.5,26.0,23.5,26.0,,
FRA,airalo,Standard,30,50,changed,price,35.5,35.0,USD,USD,35.5,35.0,35.5,35.0,,
FRA,airalo,Unlimited,3,9,new,,,11.0,,USD,,11.0,,11.0,,
FRA,airalo,Unlimited,5,15,new,,,17.0,,USD,,17.0,,17.0,,
FRA,airalo,Unlimited,7,21,new,,,25.0,,USD,,25.0,,25.0,,
FRA,airalo,Unlimited,10,30,new,,,33.0,,USD,,33.0,,33.0,,
FRA,airalo,Unlimited,15,45,new,,,45.0,,USD,,45.0,,45.0,,
FRA,airalo,Unlimited,30,90,new,,,65.0,,USD,,65.0,,65.0,,
FRA,orange,Data+Calls+SMS-20,14,20,deleted,,23.99,,USD,,23.99,,,,,
FRA,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
FRA,orange,Data-10,7,10,deleted,,15.99,,USD,,15.99,,,,,
FRA,orange,Data-3,7,3,deleted,,8.99,,USD,,8.99,,,,,
FRA,orange,Data-5,7,5,deleted,,10.99,,USD,,10.99,,,,,
GBR,orange,Data+Calls+SMS-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
GBR,orange,Data+Calls+SMS-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
GBR,orange,Data+Calls+SMS-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
GBR,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
GBR,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
GBR,orange,Data-10,7,10,deleted,,15.99,,USD,,15.99,,,,,
GBR,orange,Data-3,7,3,deleted,,8.99,,USD,,8.99,,,,,
